bank_txn_id,booking_date,value_date,amount,currency,counterparty_name,counterparty_account,description,channel
BTX-00000021,2026-02-13,2026-02-13,27.25,EUR,"Reyes, Carter and Dickerson",GB07KZFH37824051933713,PAYMENT RCT-0000105 REF ArD6130,CARD
BTX-00000122,2026-02-19,2026-02-18,14.26,USD,Ryan LLC,GB98EQTW63367941772479,PAYMENT INV-0000082 REF mSy3587,ACH
BTX-00000072,2026-01-22,2026-01-23,323.41,AED,Long-Norris,GB24UZPR50730204061016,PAYMENT INV-0000026 REF puS1702,CARD
BTX-00000239,2026-03-01,2026-03-01,120.7,AED,Blankenship-Lewis,GB15NNGY32850044396018,PAYMENT RCT-0000030 REF eAU1056,CHECK
BTX-00000144,2026-03-02,2026-03-01,61.69,EUR,"Sullivan, Nguyen and Delgado",GB37VNQH74345614509847,PAYMENT INV-0000107 REF vNu8280,
BTX-00000242,2026-02-16,2026-02-17,316.82,USD,Lynch PLC,GB38MPJO41628678901087,PAYMENT RCT-0000037 REF CaU0832,
BTX-00000300,2026-01-31,2026-01-30,112.45,USD,Pollard Group,GB41QRSG10679521084349,PAYMENT RCT-0000108 REF ExP9239,ACH
BTX-00000315,2026-01-17,2026-01-16,14.2,USD,Miller-Alvarado,GB33XKXX28512669345979,PAYMENT RCT-0000127 REF ovY7285,WIRE
BTX-00000323,2026-02-21,2026-02-20,86.3,EUR,Hamilton-Petty,GB37NUQI28065356722056,PAYMENT RCT-0000136 REF kdc7161,CARD
BTX-00000053,2026-01-26,2026-01-27,97.85,USD,Smith Inc,GB52BFDF75663851597056,PAYMENT INV-0000004 REF EOj8371,ACH
BTX-00000037,2026-02-23,2026-02-23,10.38,USD,Carter and Sons,GB60JYNO62641872336351,PAYMENT RCT-0000022 REF XPN4482,CASH
BTX-00000190,2026-02-14,2026-02-14,11.18,EUR,Glass-Martinez,GB33LQWY32868655298320,PAYMENT INV-0000166 REF LNm2581,CASH
BTX-00000059,2026-02-27,2026-02-26,73.64,AED,Lopez-Mason,GB02QVPH83589164717296,PAYMENT INV-0000010 REF hBT3691,ACH
